session_swing,hand_speed_mag_swing_max_velo_x,hand_speed_mag_swing_max_velo_x_pct,torso_angular_velocity_swing_max_x,torso_angular_velocity_swing_max_x_pct,swing_efficiency,swing_efficiency_pct,bat_torso_angle_connection_x,bat_torso_angle_connection_x_pct,attack_angle_contact_x,attack_angle_contact_x_pct,poi_x,poi_x_pct,poi_y,poi_y_pct,pitch_angle,pitch_angle_pct,exit_velo_mph_x,exit_velo_mph_x_pct
396_2,1754.9302,43.7,902.459,43.4,3.4485,80.6,90.6218,8.6,-1.4962,17.7,7.05,91.9,29.23,41.8,-6.6,50.1,91.2,51.1
396_3,1710.2639,35.3,904.1764,44.4,3.4476,80.4,94.4173,14.8,-3.7321,9.8,0.0,34.4,0.0,7.5,-7.5,12.4,91.3,52.0
396_4,1768.3733,45.6,934.2157,58.3,3.5657,89.7,86.1758,2.9,2.2794,36.8,3.47,70.8,30.49,49.6,-7.1,25.6,87.9,32.7
396_5,1714.0107,36.0,952.3207,70.7,3.6367,94.3,90.3064,7.9,-3.5504,10.5,0.28,43.5,31.96,60.0,-6.8,38.1,95.4,77.2
396_6,1594.0859,15.3,918.9469,50.8,3.5149,85.4,88.9258,6.4,-0.6734,21.0,6.65,90.9,31.9,59.6,-6.7,43.8,91.8,55.2
396_7,1770.5592,46.3,949.8424,68.3,3.414,76.4,86.7489,4.0,4.0839,48.7,3.54,71.6,39.78,96.4,-6.2,68.2,92.3,58.5
396_8,1782.4062,47.7,925.1251,52.8,3.5518,88.3,85.3561,2.2,3.1873,42.9,5.77,86.7,36.78,89.0,-6.2,68.2,89.3,39.8
398_1,1427.5917,2.6,757.675,2.4,3.2371,52.5,120.8883,85.4,2.223,36.3,4.18,77.3,26.83,28.4,-7.2,21.3,55.4,0.5
398_2,1607.3813,17.9,814.0314,12.4,3.1195,37.7,121.5654,86.6,-19.4186,0.5,4.84,81.2,31.88,59.3,-6.5,55.0,48.8,0.2
398_3,1481.6161,4.6,823.4951,14.5,3.5101,84.5,124.6625,90.4,-6.4257,4.8,4.12,76.6,30.06,46.5,-7.2,21.3,71.3,1.7
398_4,1409.1989,2.2,788.5259,7.9,3.5637,89.3,125.1293,91.0,-2.4786,14.5,-0.55,22.9,29.99,45.9,-7.5,12.4,73.5,2.4
398_5,1371.7823,1.2,824.6866,14.6,3.5294,86.4,123.3734,89.5,-6.7712,4.1,3.98,75.7,27.3,31.1,-7.2,21.3,68.1,1.5
398_6,1305.5582,0.3,721.5903,1.4,3.1509,41.8,58.7195,0.2,-16.8631,0.7,1.19,51.4,26.25,26.0,-7.3,17.6,63.8,0.9
398_7,1451.6735,3.3,808.1996,10.8,3.3519,71.8,125.2715,91.2,-4.4676,7.9,6.67,91.0,29.5,42.7,-7.1,25.6,53.0,0.3
42_1,3308.0896,100.0,929.6973,55.9,3.6478,95.7,115.0912,72.3,6.5409,66.3,4.66,79.6,35.35,82.6,-6.6,50.1,103.9,98.8
42_2,1715.3997,36.3,951.1824,69.4,3.5019,84.3,112.3448,67.5,-2.0046,15.7,0.0,34.4,0.0,7.5,-8.0,5.9,101.8,97.6
42_3,1719.6067,37.2,933.8995,57.8,3.5686,90.2,112.5407,68.0,-2.9175,12.4,3.96,75.4,29.76,44.1,-6.6,50.1,104.8,99.6
42_4,1800.1511,51.3,915.4393,49.1,3.1655,44.1,118.1462,77.1,7.0001,68.3,-2.43,11.2,27.97,34.6,-7.8,7.5,98.2,89.4
42_5,1807.5548,53.0,951.3947,69.5,3.5524,88.5,114.7684,71.8,8.7881,78.7,-1.79,15.4,31.25,54.9,-6.6,50.1,104.8,99.6
426_1,1782.9426,48.0,814.2584,12.6,3.2031,48.2,93.9991,13.8,-5.442,5.7,-0.84,20.7,29.12,40.9,-5.5,84.3,93.3,65.1
